loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 2550, 100, 0.0011420232607066442Jy/beam, 0.0011420232607066442Jy/beam, 278.75831942942216Jy*chan, inf
1, hogbom, 5100, 200, 0.0011385959561108052Jy/beam, 0.0011385959561108052Jy/beam, 291.2177573196294Jy*chan, 0.044696201052258876
2, hogbom, 10200, 300, 0.0011339368387880088Jy/beam, 0.0011339368387880088Jy/beam, 306.13669303274173Jy*chan, 0.051229484940844006
3, hogbom, 20400, 400, 0.0011287065228874184Jy/beam, 0.0011287065228874184Jy/beam, 322.84559381706276Jy*chan, 0.05457986959614146
4, hogbom, 40800, 500, 0.0011233431470516386Jy/beam, 0.0011233431470516386Jy/beam, 340.37573939133597Jy*chan, 0.05429885341475804
5, hogbom, 81600, 600, 0.001118174402528506Jy/beam, 0.001118174402528506Jy/beam, 358.0848441008219Jy*chan, 0.05202810500288171
6, hogbom, 163200, 700, 0.0011133817832956934Jy/beam, 0.0011133817832956934Jy/beam, 390.00398958845915Jy*chan, 0.0891384989157769
7, hogbom, 255000, 800, 0.0011056353950194755Jy/beam, 0.0011056353950194755Jy/beam, 425.86824357951923Jy*chan, 0.09195868490705655
8, hogbom, 255000, 900, 0.0010980822787298639Jy/beam, 0.0010980822787298639Jy/beam, 448.24521661264146Jy*chan, 0.05254435701765102
9, hogbom, 255000, 1000, 0.0010938594793458909Jy/beam, 0.0010938594793458909Jy/beam, 466.08466110487853Jy*chan, 0.039798404603285105
10, hogbom, 255000, 1000, 0.0010907638037430127Jy/beam, 0.0010907638037430127Jy/beam, 475.96368927624417Jy*chan, 0.02119578050036418
11, hogbom, 255000, 1000, 0.0010891401515693408Jy/beam, 0.0010891401515693408Jy/beam, 476.1124666726711Jy*chan, 0.0003125814001760108
