loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 510, 100, 0.0004364194976665648Jy/beam, 0.0004364194976665648Jy/beam, 48.865350499520325Jy*chan, inf
1, hogbom, 1020, 200, 0.0004350694818936912Jy/beam, 0.0004350694818936912Jy/beam, 49.43361820252691Jy*chan, 0.011629256665459947
2, hogbom, 2040, 300, 0.0004334420032926746Jy/beam, 0.0004334420032926746Jy/beam, 50.111835254114574Jy*chan, 0.013719753403625981
3, hogbom, 4080, 400, 0.0004315799938880911Jy/beam, 0.0004315799938880911Jy/beam, 50.89309521224063Jy*chan, 0.015590328196210087
4, hogbom, 8160, 500, 0.0004295514752855415Jy/beam, 0.0004295514752855415Jy/beam, 51.763197636233336Jy*chan, 0.017096669407983482
5, hogbom, 16320, 600, 0.00042743666713844546Jy/beam, 0.00042743666713844546Jy/beam, 53.58400147923134Jy*chan, 0.03517564459200783
6, hogbom, 32640, 700, 0.0004233965038410295Jy/beam, 0.0004233965038410295Jy/beam, 56.785512438189244Jy*chan, 0.059747515500476016
7, hogbom, 51000, 800, 0.0004172834441370366Jy/beam, 0.0004172834441370366Jy/beam, 60.22616951873701Jy*chan, 0.06059040295344529
8, hogbom, 51000, 900, 0.00041186639974679214Jy/beam, 0.00041186639974679214Jy/beam, 62.539114393046546Jy*chan, 0.03840431647558051
9, hogbom, 51000, 1000, 0.00040879190409479765Jy/beam, 0.00040879190409479765Jy/beam, 64.5179476185424Jy*chan, 0.03164152938046506
10, hogbom, 51000, 1000, 0.00040649752497848486Jy/beam, 0.00040649752497848486Jy/beam, 66.29716150155326Jy*chan, 0.02757703784271532
11, hogbom, 51000, 1000, 0.0004046954903553482Jy/beam, 0.0004046954903553482Jy/beam, 67.80215307509575Jy*chan, 0.022700693958175314
12, hogbom, 51000, 1000, 0.0004034368361575457Jy/beam, 0.0004034368361575457Jy/beam, 68.26983535229331Jy*chan, 0.00689774964343059
