loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 1020, 100, 0.000600078814600603Jy/beam, 0.000600078814600603Jy/beam, 92.2757600568402Jy*chan, inf
1, hogbom, 2040, 200, 0.000598255049634754Jy/beam, 0.000598255049634754Jy/beam, 93.65483608684136Jy*chan, 0.014945160344945113
2, hogbom, 4080, 300, 0.0005963060008935566Jy/beam, 0.0005963060008935566Jy/beam, 95.32431014453186Jy*chan, 0.017825817944334337
3, hogbom, 8160, 400, 0.00059405615575064Jy/beam, 0.00059405615575064Jy/beam, 97.28467268901161Jy*chan, 0.02056518994480448
4, hogbom, 16320, 500, 0.0005915952288202034Jy/beam, 0.0005915952288202034Jy/beam, 101.45456969862305Jy*chan, 0.042862836399124006
5, hogbom, 32640, 600, 0.0005868485345699549Jy/beam, 0.0005868485345699549Jy/beam, 105.54835234458474Jy*chan, 0.040350894574019934
6, hogbom, 65280, 700, 0.0005826768240785916Jy/beam, 0.0005826768240785916Jy/beam, 113.02697978294222Jy*chan, 0.07085498989071785
7, hogbom, 102000, 800, 0.0005761086298907809Jy/beam, 0.0005761086298907809Jy/beam, 120.64592016856211Jy*chan, 0.06740815688653592
8, hogbom, 102000, 900, 0.0005705546651958607Jy/beam, 0.0005705546651958607Jy/beam, 126.71869242288949Jy*chan, 0.050335496184559896
9, hogbom, 102000, 1000, 0.0005668453635086175Jy/beam, 0.0005668453635086175Jy/beam, 131.91100441734878Jy*chan, 0.04097510710678221
10, hogbom, 102000, 1000, 0.0005641514177170601Jy/beam, 0.0005641514177170601Jy/beam, 135.6443490019841Jy*chan, 0.028301994978550203
11, hogbom, 102000, 1000, 0.0005625699838279612Jy/beam, 0.0005625699838279612Jy/beam, 135.86454991617538Jy*chan, 0.0016233696118668397
