loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 2550, 100, 0.0013391096284120368Jy/beam, 0.0013391096284120368Jy/beam, 1447.5391336725802Jy*chan, inf
1, hogbom, 5100, 200, 0.0013335482066927646Jy/beam, 0.0013335482066927646Jy/beam, 1462.2798583468968Jy*chan, 0.010183299595443522
2, hogbom, 10200, 300, 0.0013244957420843874Jy/beam, 0.0013244957420843874Jy/beam, 1481.9911481516403Jy*chan, 0.013479834036028546
3, hogbom, 20400, 400, 0.001313208221244487Jy/beam, 0.001313208221244487Jy/beam, 1505.7218870648067Jy*chan, 0.016012739983476694
4, hogbom, 40800, 500, 0.0013006587797573348Jy/beam, 0.0013006587797573348Jy/beam, 1532.545472927268Jy*chan, 0.017814435781862897
5, hogbom, 81600, 600, 0.0012874993258639427Jy/beam, 0.0012874993258639427Jy/beam, 1561.6970170218578Jy*chan, 0.019021650325917124
6, hogbom, 163200, 700, 0.0012742478604500886Jy/beam, 0.0012742478604500886Jy/beam, 1620.355950879352Jy*chan, 0.03756102061932353
7, hogbom, 255000, 800, 0.001250329059614907Jy/beam, 0.001250329059614907Jy/beam, 1700.8438124444087Jy*chan, 0.04967295088549947
8, hogbom, 255000, 900, 0.0012223375022201058Jy/beam, 0.0012223375022201058Jy/beam, 1771.8633981593382Jy*chan, 0.04175550111968362
9, hogbom, 255000, 1000, 0.0012016557192442063Jy/beam, 0.0012016557192442063Jy/beam, 1814.7476806536486Jy*chan, 0.024202928137044742
10, hogbom, 255000, 1000, 0.0011907268274564627Jy/beam, 0.0011907268274564627Jy/beam, 1866.0874167075965Jy*chan, 0.028290288838091277
11, hogbom, 255000, 1000, 0.0011789774273137828Jy/beam, 0.0011789774273137828Jy/beam, 1903.2213372484503Jy*chan, 0.019899346733911548
12, hogbom, 255000, 1000, 0.0011710975903622316Jy/beam, 0.0011710975903622316Jy/beam, 1937.6378768696763Jy*chan, 0.01808330904432966
13, hogbom, 255000, 1000, 0.0011640209166421094Jy/beam, 0.0011640209166421094Jy/beam, 1964.9314759995207Jy*chan, 0.014086016513022607
14, hogbom, 255000, 1000, 0.001158692700688648Jy/beam, 0.001158692700688648Jy/beam, 1987.5303589714017Jy*chan, 0.011501104872059444
15, hogbom, 255000, 1000, 0.0011545065523954944Jy/beam, 0.0011545065523954944Jy/beam, 2009.2902369777692Jy*chan, 0.010948199059273108
16, hogbom, 255000, 1000, 0.0011507507552088229Jy/beam, 0.0011507507552088229Jy/beam, 2027.1693340579886Jy*chan, 0.008898215275813982
