loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 1020, 100, 0.0009065224413270747Jy/beam, 0.0009065224413270747Jy/beam, 626.0972816743252Jy*chan, inf
1, hogbom, 2040, 200, 0.0009026743362507913Jy/beam, 0.0009026743362507913Jy/beam, 630.1080461765265Jy*chan, 0.006405976546449086
2, hogbom, 4080, 300, 0.0008962674419953929Jy/beam, 0.0008962674419953929Jy/beam, 635.5073203770687Jy*chan, 0.008568806942404267
3, hogbom, 8160, 400, 0.0008881502546536725Jy/beam, 0.0008881502546536725Jy/beam, 642.0718079381684Jy*chan, 0.010329523123675
4, hogbom, 16320, 500, 0.0008789658161579802Jy/beam, 0.0008789658161579802Jy/beam, 649.5616325149888Jy*chan, 0.011665088677342585
5, hogbom, 32640, 600, 0.0008692148116527282Jy/beam, 0.0008692148116527282Jy/beam, 657.8420981137749Jy*chan, 0.012747775090603198
6, hogbom, 65280, 700, 0.0008591797470053507Jy/beam, 0.0008591797470053507Jy/beam, 674.9336337291693Jy*chan, 0.02598121291477209
7, hogbom, 102000, 800, 0.0008405987399485621Jy/beam, 0.0008405987399485621Jy/beam, 699.2372704127706Jy*chan, 0.03600892809166723
8, hogbom, 102000, 900, 0.0008179626170218853Jy/beam, 0.0008179626170218853Jy/beam, 714.6486848439873Jy*chan, 0.022040321766771835
9, hogbom, 102000, 1000, 0.0008055440356011577Jy/beam, 0.0008055440356011577Jy/beam, 729.4627791277345Jy*chan, 0.020729198273108415
10, hogbom, 102000, 1000, 0.0007948261388214731Jy/beam, 0.0007948261388214731Jy/beam, 742.5220654679384Jy*chan, 0.017902608212333675
11, hogbom, 102000, 1000, 0.0007863276606491552Jy/beam, 0.0007863276606491552Jy/beam, 754.0268655123239Jy*chan, 0.015494219740305081
12, hogbom, 102000, 1000, 0.0007795020722489873Jy/beam, 0.0007795020722489873Jy/beam, 764.3122607199584Jy*chan, 0.01364062167817608
13, hogbom, 102000, 1000, 0.0007738704587903783Jy/beam, 0.0007738704587903783Jy/beam, 773.2852987849384Jy*chan, 0.011740015862793614
14, hogbom, 102000, 1000, 0.0007693192213612255Jy/beam, 0.0007693192213612255Jy/beam, 781.3351832195999Jy*chan, 0.010409979922430038
15, hogbom, 102000, 1000, 0.0007655203510348903Jy/beam, 0.0007655203510348903Jy/beam, 788.6856609247991Jy*chan, 0.009407585711052355
