loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 2550, 100, 0.0011948280697521628Jy/beam, 0.0011948280697521628Jy/beam, 294.0987444130992Jy*chan, inf
1, hogbom, 5100, 200, 0.001189773276356931Jy/beam, 0.001189773276356931Jy/beam, 304.4768154249371Jy*chan, 0.03528770934588071
2, hogbom, 10200, 300, 0.0011840317455548283Jy/beam, 0.0011840317455548283Jy/beam, 315.7134643786389Jy*chan, 0.03690477693028799
3, hogbom, 20400, 400, 0.0011784369348214674Jy/beam, 0.0011784369348214674Jy/beam, 327.3375083108892Jy*chan, 0.03681833448290769
4, hogbom, 40800, 500, 0.0011734281892981325Jy/beam, 0.0011734281892981325Jy/beam, 338.2545913954394Jy*chan, 0.033351152273639495
5, hogbom, 81600, 600, 0.0011692971074239505Jy/beam, 0.0011692971074239505Jy/beam, 347.9469947622266Jy*chan, 0.028654166457289108
6, hogbom, 163200, 700, 0.0011660393570287928Jy/beam, 0.0011660393570287928Jy/beam, 363.6241087165331Jy*chan, 0.045056040690966796
7, hogbom, 255000, 800, 0.0011612753222589782Jy/beam, 0.0011612753222589782Jy/beam, 367.70212032948416Jy*chan, 0.011214909889624822
8, hogbom, 255000, 900, 0.0011601266190809562Jy/beam, 0.0011601266190809562Jy/beam, 367.7308225388378Jy*chan, 7.805831885853783e-05
