loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 510, 100, 0.0005650272329612981Jy/beam, 0.0005650272329612981Jy/beam, 64.2914055852355Jy*chan, inf
1, hogbom, 1020, 200, 0.0005625153480243333Jy/beam, 0.0005625153480243333Jy/beam, 65.36217877109142Jy*chan, 0.016654997290988297
2, hogbom, 2040, 300, 0.0005593643226996049Jy/beam, 0.0005593643226996049Jy/beam, 66.55286235702809Jy*chan, 0.018216705873692313
3, hogbom, 4080, 400, 0.0005561292035112999Jy/beam, 0.0005561292035112999Jy/beam, 67.8425725901189Jy*chan, 0.019378734248454453
4, hogbom, 8160, 500, 0.0005530241742955279Jy/beam, 0.0005530241742955279Jy/beam, 69.1620920235753Jy*chan, 0.019449725785436633
5, hogbom, 16320, 600, 0.0005501966649749945Jy/beam, 0.0005501966649749945Jy/beam, 70.42333756921319Jy*chan, 0.0182360814824394
6, hogbom, 32640, 700, 0.0005477509765710006Jy/beam, 0.0005477509765710006Jy/beam, 72.48802223160396Jy*chan, 0.029318188169675564
7, hogbom, 51000, 800, 0.000544236030273377Jy/beam, 0.000544236030273377Jy/beam, 74.53321628708268Jy*chan, 0.02821423446958159
8, hogbom, 51000, 900, 0.0005412747839746843Jy/beam, 0.0005412747839746843Jy/beam, 75.0244539209346Jy*chan, 0.006590855169322137
