loopnum, deconvolver, niter, cycleniter, threshold, noise, model_flux, frac_delta_flux
# column 1: Loop number.
# column 2: Deconvolver used in clean.
# column 3: Allocated number of iterations.
# column 4: Cycleniter used to force major cycles.
# column 5: Threshold supplied to clean.
# column 6: Noise level measured in residuals.
# column 7: Integrated model flux.
# column 8: Fractional change in flux from previous loop.
0, hogbom, 1020, 100, 0.0007804275790765132Jy/beam, 0.0007804275790765132Jy/beam, 124.13040653960265Jy*chan, inf
1, hogbom, 2040, 200, 0.0007770376783833183Jy/beam, 0.0007770376783833183Jy/beam, 126.90185363099376Jy*chan, 0.022326899336359667
2, hogbom, 4080, 300, 0.0007729916350035251Jy/beam, 0.0007729916350035251Jy/beam, 129.9943084538212Jy*chan, 0.024368870385610756
3, hogbom, 8160, 400, 0.0007688757296393643Jy/beam, 0.0007688757296393643Jy/beam, 133.31369067188228Jy*chan, 0.025534827313153187
4, hogbom, 16320, 500, 0.0007650169225710518Jy/beam, 0.0007650169225710518Jy/beam, 136.60040611796123Jy*chan, 0.024653997871594127
5, hogbom, 32640, 600, 0.000761635884542337Jy/beam, 0.000761635884542337Jy/beam, 139.64460749379893Jy*chan, 0.022285448940824397
6, hogbom, 65280, 700, 0.0007588255396498624Jy/beam, 0.0007588255396498624Jy/beam, 144.26680164133106Jy*chan, 0.033099696654862815
7, hogbom, 102000, 800, 0.0007550613507354995Jy/beam, 0.0007550613507354995Jy/beam, 148.5771395150176Jy*chan, 0.02987754510842129
8, hogbom, 102000, 900, 0.000752004635132149Jy/beam, 0.000752004635132149Jy/beam, 148.66281850099108Jy*chan, 0.0005766633161276291
